serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,603896,寿仙谷,27778.3,,2767.364,82907.16,,152179759.61,,,,,,152179759.61,70163.88,,,,2022FY,2022
2,603896,寿仙谷,25448.0058,-8.39,,78434.7257,-5.39,,,,,,,,,,,,2023FY,2023
3,603896,寿仙谷,9023.5789,11.82,976.6515,37149.0624,4.76,6669.5773,16506.7466,4220.8974,12127.1912,2656.2473,349.7392,23733.4704,16119.7398,9035.3546,12127.1912,12127.1912,2023HY,2023
4,603896,寿仙谷,6261.049008,,,,,,,,,,,,,,,,2023Q1,2023
5,603896,寿仙谷,13936.076688,,1837.931934,54263.231078,,,23066.802208,6802.441521,-1080.954323,3984.607399,,32772.8968,13789.512406,13966.949881,0.0,57.615849,2023Q3,2023
6,603896,寿仙谷,17471.45,-31.34,2927.9381,69168.3551,-11.81,12037.9447,30358.25,30358.25,-1899.6305,12369.0,833.7533,43914.4307,17471.454,17472.7197,0.0,8.2386,2024FY,2024
7,603896,寿仙谷,10087.3321,11.79,,35258.5672,-5.09,7800.754,,,,,,7800.754,27457.8132,,,,2024HY,2024
8,603896,寿仙谷,7713.02421,23.19,,,,,,,,,,,,,,,2024Q1,2024
9,603896,寿仙谷,11867.0398,-14.85,,47203.802,-13.01,,,,,,,,,,,,2024Q3,2024
10,603896,寿仙谷,6555.8638,-33.99,3016.943006,29968.3686,-16.51,5751.2,13309.51,4587.44,177.65,2976.36,,24651.16,6569.59,6569.5913,76.18,-2480.94,2025HY,2025
11,603896,寿仙谷,5837.3966,-24.32,1948.1974,17080.5352,,3138.4737,6843.5918,2022.9412,-29.0117,1190.7061,,13166.7011,5862.0315,,,,2025Q1,2025
