serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,603998,方盛制药,39972.3961,17750.3296,30339.7502,4030.9693,,292215.01,8.05,8552.7833,,141420.1204,13.57,,,69.75,711059107.45,139012.93,2022FY,2022
2,603998,方盛制药,208977378.63,20964.2956,32828.4076,20326196.0,0.0,308098.5669,5.43,113624086.03,0.0,149225.9685,0.0,36176324.96,309194403.62,25.37,71588.2078,1174528942.55,2023FY,2023
3,603998,方盛制药,19287.3,25139.2932,36701.304,0.0,0.0,304122.19,4.07,6165.6132,0.0,164523.51,12.47,0.0,0.0,0.0,71357.1281,139598.68,2023HY,2023
4,603998,方盛制药,20886.230197,23718.915862,34684.547046,,,298313.186061,2.09,,,139248.179306,-1.67,,,93.36,,145941.582417,2023Q1,2023
5,603998,方盛制药,,,,,,310444.221201,6.24,,,,,,,,,156280.349711,2023Q3,2023
6,603998,方盛制药,30845.9619,3507.7931,6307.7176,0.0,,326657.3465,6.02,18167.2196,,53148.5902,-64.38,,,16.27,83740.7612,162296.5417,2024FY,2024
7,603998,方盛制药,20205.7676,28860.3924,37487.3126,1545.2603,,322709.753851,4.74,14064.9261,,160062.9157,77.54,,,5.92,,151145.208086,2024HY,2024
8,603998,方盛制药,,,,,,325382.809776,9.07,,,,,,,,,153176.530865,2024Q1,2024
9,603998,方盛制药,19544.7028,28328.481038,38409.690492,,,328616.506821,5.85,18719.512366,,157479.765623,,,,47.92,,171136.741199,2024Q3,2024
10,603998,方盛制药,13087.1182,28530.1916,38343.7713,,,305654.31587,-5.29,15018.9866,,134179.6284,0.0,,,0.0,89248734506.0,163883.954798,2025HY,2025
11,603998,方盛制药,18722.99,29133.59,38640.26,,,315000.06,-3.57,17262.2,,139051.51,-8.86,,,84.47,,166620.82,2025Q1,2025
12,603998,方盛制药,18009.309947,27794.447284,35827.591628,,,303150.28369,-7.2,10745.703754,697.398784,127931.558793,-18.76,2910.131885,41346.842222,72.36,,175218.724897,2025Q3,2025
