serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,603998,方盛制药,30162.59,62.49,17532.2388,172.26,359452800.0,1772.1602,17.41,145169164.49,0.0,443545263.89,233296652.78,-9126.9055,-89.68,2022FY,2022
2,603998,方盛制药,-201411843.13,-70.98,196445611.18,100.01,,-19740.2469,-0.01,,,,,-9154.7318,-0.0,2023FY,2023
3,603998,方盛制药,-5486.07,-218509220.28,-5486.0681,25.11,10606.8427,-9134.2362,41.8,498.4445,216.1411,8.1,556.7757,-7230.6179,33.09,2023HY,2023
4,603998,方盛制药,-19864.100982,,-6397.769155,32.21,,-5505.082361,27.71,,,,,-7961.249466,40.08,2023Q1,2023
5,603998,方盛制药,-21956.676603,,-1151.20567,5.24,,-17042.33774,77.62,,,,,-3763.133381,17.14,2023Q3,2023
6,603998,方盛制药,19494.74,122.7,19494.7439,100.0,,0.0,0.0,,,,,0.0,0.0,2024FY,2024
7,603998,方盛制药,6633.954074,不适用,6633.954074,-1384.23,,-16135.248,3366.76,,,,,9022.0425,-1882.53,2024HY,2024
8,603998,方盛制药,,,4689.825814,100.0,,,,,,,,,,2024Q1,2024
9,603998,方盛制药,,,11698.732781,-3656.36,,-3772.201725,1178.98,,,,,-8246.486575,2577.39,2024Q3,2024
10,603998,方盛制药,12948.836767,95.19,12948.836767,100.0,,0.0,0.0,,,,,0.0,0.0,2025HY,2025
11,603998,方盛制药,-12320.81,,2192.61,-17.8,,121.49,-0.99,,,,,-14634.9,118.78,2025Q1,2025
12,603998,方盛制药,22487.624574,92.22,22487.624574,-177.6,,5163.000944,-40.77,,,,,-40312.859067,318.37,2025Q3,2025
