serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,603998,方盛制药,0.66,179200.09,14.36,0.0,28585.15,308.12,0.0,3.16,19.24,0.69,10651.99,69.03,67.12,15.95,12.07,2022FY,2022
2,603998,方盛制药,0.43,1569449377.81,-9.12,4363148.89,18682.3362,-34.64,429.49,145809.3676,12.58,8753.7943,13352.75,0.31,73.26,0.0,12.58,2023FY,2023
3,603998,方盛制药,0.25,85521.55,0.0,0.0,10671.49,68.86,0.0,0.0,7.39,0.0,8748.64,118.9,68.86,12.47,6.06,2023HY,2023
4,603998,方盛制药,0.15,43675.957382,3.3,-75.63,6378.680829,86.45,-77.69,,4.49,-6397.769155,4917.075824,100.58,67.77,14.6,3.37,2023Q1,2023
5,603998,方盛制药,0.08,35969.742239,-25.73,-57.94,3528.356128,-82.02,-66.94,,2.33,-0.0261,3421.134932,8.04,,9.81,2.19,2023Q3,2023
6,603998,方盛制药,0.59,177749.4394,9.15,31.87,25521.6208,36.61,11.87,0.0,16.6,0.45,19308.9412,44.61,0.0,0.0,16.6,2024FY,2024
7,603998,方盛制药,0.32,91024.898306,6.44,6.44,13684.466774,28.23,28.23,3.53,8.96,0.156,11070.578937,26.54,69.33,15.03,7.25,2024HY,2024
8,603998,方盛制药,0.16,43835.499277,0.37,-100.0,7019.288665,10.04,-62.43,,4.7,4689.825814,5389.761392,,,16.01,3.52,2024Q1,2024
9,603998,方盛制药,0.53,134796.317104,10.95,48.09,22813.849675,60.66,66.71,,13.33,0.2718,16291.999597,33.87,72.86,16.92,9.52,2024Q3,2024
10,603998,方盛制药,0.39,83424.897563,-8.35,99.54,16923.866658,23.67,91.75,0.0,10.01,0.0,14147.140586,27.79,0.0,0.0,0.0,2025HY,2025
11,603998,方盛制药,0.2,41808.35,-4.62,-76.48,8825.79,25.74,-65.42,,5.3,0.0497,7082.79,31.41,,21.11,4.25,2025Q1,2025
12,603998,方盛制药,0.22,419066.32648,-4.26,402.33,99044.62131,8.49,485.24,,5.7,0.0499,71203.91039,36.37,97.13,23.63,15.71,2025Q3,2025
