serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,None,None,,,,,,763164.3913,10.48,,,,,,,,,574078.8994,2022FY,2022
2,None,None,1162398.6433,130114.8435,669436.8428,42.8584,13602.3491,2704449.1889,0.9883,344728.6031,6719.6127,859042.3576,0.9883,62457.2649,30953.2,31.78,726243.3548,1845406.8313,2023FY,2023
3,None,九芝堂,102798.42049,59535.041536,15037.6215,171580.051,3059.2917,554199.607038,0.57,25815.636827,77.2347,103375.216157,17.65,19372.29827,7000.0,13.48,68008.0038,414727.075521,2023Q1,2023
4,None,九芝堂,39393.440007,64930.822242,46369.124918,188404.62,36889.894127,539843.407972,4.44,17564.295903,13.55505,145769.411136,-4.26,11802.537476,0.0,14.68,340234.763622,394073.996836,2023Q3,2023
5,None,None,1088798.3161,9923361104.39,6294368316.3,,703439112.24,5291418.1333,-1.62,,,1404809.6771,63.53,,,26.55,,3883194.6425,2024FY,2024
6,None,None,1145500.7037,146188.7564,1040782.0511,38.3123,21142.2536,3132609.785,4.11,386490.9718,,1042403.9278,6.01,51082.2605,9945.9599,33.28,870593.3657,2090205.8572,2024HY,2024
7,None,东阿阿胶,679109.7922,18656.3135,95403.5687,245777.997784,6399.343458,1340024.3434,0.71,27285.4919,309.63303,92083.539092,-0.77,59211.2421,0.0,21.71,356888.36418,1099627.8203,2024Q1,2024
8,None,万邦德,9579.5813,8037.256,29774.1345,287527.9521,5533.017026,426845.1835,-0.65,25314.2601,0.0,150494.7136,-1.53,54.39698,45200.0,56.12,164754.185,266436.4786,2024Q3,2024
9,None,东阿阿胶,543160.820379,54117.832185,96230.314177,298300.184248,7912.516564,1330830.302039,1.69,26302.103202,840.75383,255138.928483,-7.86,58868.227446,0.0,23.0,9307555.81907,1075691.373556,2025Q1,2025
10,None,东阿阿胶,556227.41,52498.9,82228.13,46258.937374,,1274859.41,-2.65,20100.51,452.0943,277549.55,0.69,52244.32,0.0,21.77,570306.166,994790.91,2025Q3,2025
11,None,None,,,,,,348976.8021,-2.43,,,,,,,,,157472.887,FY,
