serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,None,None,57444.1774,-13.62,,515321.5069,,,,,,,,,,,,,2022FY,2022
2,None,None,39772.6376,15.55,,122737.282,-76.18,,,,,,,181951.4691,121369.89,121369.89,,,2023FY,2023
3,None,九芝堂,16158.425851,17.09,487.875719,18753.902,-7.61,7443.8228,14616.360741,9178.32408,-690.966888,768.47613,135.1243,21512.4408,29605.184096,29514.19195,9.169049,7.925614,2023Q1,2023
4,None,九芝堂,65259.369728,14.68,5346.708277,381869.193262,-0.7,236828.288111,86924.16366,15063.638971,-289.354154,9124.116416,3623.256378,3064885.73135,859296.00214,858734.25405,0.0,-165.283478,2023Q3,2023
5,None,None,476707.236,8.91,,4003330.0815,3161.71,,,,,,,,,,,,2024FY,2024
6,None,None,151497.2328,151497.2328,6965.571,976298.2449,,546781.8205,164831.3157,69494.5611,-291.367,9230.0112,7593.8033,547749.318,429465.931,151497.2328,-4089.8774,-41.2062,2024HY,2024
7,None,东阿阿胶,35356.3446,34.05,492.6536,123763.849359,-10.22,78389.635751,56482.232,6665.3878,339.9846,3919.9038,1161.672891,105704.135469,40988.4421,41216.3509,0.0,3.978994,2024Q1,2024
8,None,万邦德,3624.6557,-23.08,2373.7837,315063.7679,-21.26,63849.9206,24083.4818,12049.8179,2444.4119,4225.8603,3318.5838,107723.2285,4040.9653,3543.3678,-68.963,-895.0669,2024Q3,2024
9,None,东阿阿胶,42497.659742,20.25,234.854656,171852.447925,18.24,45339.652884,62307.119022,8659.561156,-453.630532,3872.887537,2211.890119,120703.228505,50819.490587,50855.935545,150.166306,-1573.585383,2025Q1,2025
10,None,东阿阿胶,127382.01,10.53,334.772256,22481.575188,4.41,11989.926337,167611.57,28896.95,-4386.45,14519.6,4323.9825,545525.2955,150579.6,150297.21,-4.646687,655.420025,2025Q3,2025
